,Label,tweet,Tokenization,Stop_Removal,Tweet_Stemmed
31,Negatif,jokowiharusditurunkan  goodbyejokowi  tangkapsemuaantek rezimjokowiperusakbangsa,"['jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']","['jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']","['jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']"
32,Positif,bulan ramadhan adalah bulan perjuangan selamatkan indonesia dari cengkeramam oligarki goodbyejokowi,"['bulan', 'ramadhan', 'adalah', 'bulan', 'perjuangan', 'selamatkan', 'indonesia', 'dari', 'cengkeramam', 'oligarki', 'goodbyejokowi']","['ramadhan', 'perjuangan', 'selamatkan', 'indonesia', 'cengkeramam', 'oligarki', 'goodbyejokowi']","['ramadhan', 'juang', 'selamat', 'indonesia', 'cengkeramam', 'oligarki', 'goodbyejokowi']"
33,Negatif,  jokowiharusditurunkan  goodbyejokowi  tangkapsemuaantek rezimjokowiperusakbangsa,"['', 'jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']","['', 'jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']","['', 'jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']"
34,Negatif,jokowiharusditurunkan  goodbyejokowi  tangkapsemuaantek rezimjokowiperusakbangsa,"['jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']","['jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']","['jokowiharusditurunkan', 'goodbyejokowi', 'tangkapsemuaantek', 'rezimjokowiperusakbangsa']"
35,Negatif, rakyat mana yang mau kau tipu dengan goodbyejokowi    ,"['', 'rakyat', 'mana', 'yang', 'mau', 'kau', 'tipu', 'dengan', 'goodbyejokowi', '']","['', 'rakyat', 'kau', 'tipu', 'goodbyejokowi', '']","['', 'rakyat', 'kau', 'tipu', 'goodbyejokowi', '']"
36,Positif,aamin ya rabbal aalaamii  goodbyejokowi,"['aamin', 'ya', 'rabbal', 'aalaamii', 'goodbyejokowi']","['aamin', 'ya', 'rabbal', 'aalaamii', 'goodbyejokowi']","['aamin', 'ya', 'rabbal', 'aalaamii', 'goodbyejokowi']"
37,Negatif,oalah buset  cepetan  buruan  goodbyejokowi goodbyejokowi,"['oalah', 'buset', 'cepetan', 'buruan', 'goodbyejokowi', 'goodbyejokowi']","['oalah', 'buset', 'cepetan', 'buruan', 'goodbyejokowi', 'goodbyejokowi']","['oalah', 'buset', 'cepetan', 'buru', 'goodbyejokowi', 'goodbyejokowi']"
38,Negatif,cabut mandat goodbyejokowi,"['cabut', 'mandat', 'goodbyejokowi']","['cabut', 'mandat', 'goodbyejokowi']","['cabut', 'mandat', 'goodbyejokowi']"
39,Positif,yang lagi trending goodbyejokowi                      ,"['yang', 'lagi', 'trending', 'goodbyejokowi', '']","['trending', 'goodbyejokowi', '']","['trending', 'goodbyejokowi', '']"
40,Negatif, itu strategi pemerintah  mencekik rakyatnya  memaksa rakyat mau gak mau tetep belu pertama  bukan begitu     jadi sangat wajid goodbyejokowi  goodbyejokowi,"['', 'itu', 'strategi', 'pemerintah', 'mencekik', 'rakyatnya', 'memaksa', 'rakyat', 'mau', 'gak', 'mau', 'tetep', 'belu', 'pertama', 'bukan', 'begitu', 'jadi', 'sangat', 'wajid', 'goodbyejokowi', 'goodbyejokowi']","['', 'strategi', 'pemerintah', 'mencekik', 'rakyatnya', 'memaksa', 'rakyat', 'gak', 'tetep', 'belu', 'wajid', 'goodbyejokowi', 'goodbyejokowi']","['', 'strategi', 'perintah', 'cekik', 'rakyat', 'paksa', 'rakyat', 'gak', 'tetep', 'belu', 'wajid', 'goodbyejokowi', 'goodbyejokowi']"
41,Negatif,haha ksp aje menta sumbangan wkwk apalagi cuman buzzerp wkwk  tp tenang udh siap kata  pengaman  oknum  ngoahahaha tag goodbyejokowi jogja ordebrutal turu subuh inisial m tito,"['haha', 'ksp', 'aje', 'menta', 'sumbangan', 'wkwk', 'apalagi', 'cuman', 'buzzerp', 'wkwk', 'tp', 'tenang', 'udh', 'siap', 'kata', 'pengaman', 'oknum', 'ngoahahaha', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['haha', 'ksp', 'aje', 'menta', 'sumbangan', 'wkwk', 'cuman', 'buzzerp', 'wkwk', 'tp', 'tenang', 'udh', 'pengaman', 'oknum', 'ngoahahaha', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['haha', 'ksp', 'aje', 'menta', 'sumbang', 'wkwk', 'cuman', 'buzzerp', 'wkwk', 'tp', 'tenang', 'udh', 'kam', 'oknum', 'ngoahahaha', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']"
42,Negatif, berarti klo ada kades yg dukung goodbyejokowi tidak dihukum ya  kan uu nya gak jelas  goodbyejokowi  goodbyejokowi,"['', 'berarti', 'klo', 'ada', 'kades', 'yg', 'dukung', 'goodbyejokowi', 'tidak', 'dihukum', 'ya', 'kan', 'uu', 'nya', 'gak', 'jelas', 'goodbyejokowi', 'goodbyejokowi']","['', 'klo', 'kades', 'yg', 'dukung', 'goodbyejokowi', 'dihukum', 'ya', 'uu', 'nya', 'gak', 'goodbyejokowi', 'goodbyejokowi']","['', 'klo', 'kades', 'yg', 'dukung', 'goodbyejokowi', 'hukum', 'ya', 'uu', 'nya', 'gak', 'goodbyejokowi', 'goodbyejokowi']"
43,Negatif,yang lebih buruk dari pak dhe banyak  yang lebih baik lebih banyak lagi menyerahlah demi nkri goodbyejokowi,"['yang', 'lebih', 'buruk', 'dari', 'pak', 'dhe', 'banyak', 'yang', 'lebih', 'baik', 'lebih', 'banyak', 'lagi', 'menyerahlah', 'demi', 'nkri', 'goodbyejokowi']","['buruk', 'dhe', 'menyerahlah', 'nkri', 'goodbyejokowi']","['buruk', 'dhe', 'serah', 'nkri', 'goodbyejokowi']"
44,Negatif, gak salah bang  kata si tito kita negara demokrasi  yg usul   periode aja boleh  masa usul goodbyejokowi  gak boleh   bismillah inshaalloh  turun goodbyejokowi  goodbyejokowi,"['', 'gak', 'salah', 'bang', 'kata', 'si', 'tito', 'kita', 'negara', 'demokrasi', 'yg', 'usul', 'periode', 'aja', 'boleh', 'masa', 'usul', 'goodbyejokowi', 'gak', 'boleh', 'bismillah', 'inshaalloh', 'turun', 'goodbyejokowi', 'goodbyejokowi']","['', 'gak', 'salah', 'bang', 'si', 'tito', 'negara', 'demokrasi', 'yg', 'usul', 'periode', 'aja', 'usul', 'goodbyejokowi', 'gak', 'bismillah', 'inshaalloh', 'turun', 'goodbyejokowi', 'goodbyejokowi']","['', 'gak', 'salah', 'bang', 'si', 'tito', 'negara', 'demokrasi', 'yg', 'usul', 'periode', 'aja', 'usul', 'goodbyejokowi', 'gak', 'bismillah', 'inshaalloh', 'turun', 'goodbyejokowi', 'goodbyejokowi']"
45,Negatif,gini amat jdi wni yg baik  pajak naik mau tak mau legowo  bbm naik  y trima aj  hrus bpjs  y ngikut saja  trpaksa ikut vaksin drpda sulit dlm administrasi dan syarat perjalanan       goodbyejokowi,"['gini', 'amat', 'jdi', 'wni', 'yg', 'baik', 'pajak', 'naik', 'mau', 'tak', 'mau', 'legowo', 'bbm', 'naik', 'y', 'trima', 'aj', 'hrus', 'bpjs', 'y', 'ngikut', 'saja', 'trpaksa', 'ikut', 'vaksin', 'drpda', 'sulit', 'dlm', 'administrasi', 'dan', 'syarat', 'perjalanan', 'goodbyejokowi']","['gini', 'jdi', 'wni', 'yg', 'pajak', 'legowo', 'bbm', 'y', 'trima', 'aj', 'hrus', 'bpjs', 'y', 'ngikut', 'trpaksa', 'vaksin', 'drpda', 'sulit', 'dlm', 'administrasi', 'syarat', 'perjalanan', 'goodbyejokowi']","['gin', 'jdi', 'wni', 'yg', 'pajak', 'legowo', 'bbm', 'y', 'trima', 'aj', 'hrus', 'bpjs', 'y', 'ngikut', 'trpaksa', 'vaksin', 'drpda', 'sulit', 'dlm', 'administrasi', 'syarat', 'jalan', 'goodbyejokowi']"
46,Positif,up lageeh  apa kabar    masih kuat kan  wkwk tag goodbyejokowi jogja ordebrutal turu subuh inisial m tito,"['up', 'lageeh', 'apa', 'kabar', 'masih', 'kuat', 'kan', 'wkwk', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['up', 'lageeh', 'kabar', 'kuat', 'wkwk', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['up', 'lageeh', 'kabar', 'kuat', 'wkwk', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']"
47,Positif,tigaperiodendasmu tag goodbyejokowi jogja ordebrutal turu subuh inisial m tito,"['tigaperiodendasmu', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['tigaperiodendasmu', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['tigaperiodendasmu', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']"
48,Positif,prank siden     goodbyejokowi  ,"['prank', 'siden', 'goodbyejokowi', '']","['prank', 'siden', 'goodbyejokowi', '']","['prank', 'siden', 'goodbyejokowi', '']"
49,Negatif,air mata tito eh air mata buaya  tag goodbyejokowi jogja ordebrutal turu subuh inisial m tito,"['air', 'mata', 'tito', 'eh', 'air', 'mata', 'buaya', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['air', 'mata', 'tito', 'eh', 'air', 'mata', 'buaya', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['air', 'mata', 'tito', 'eh', 'air', 'mata', 'buaya', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']"
50,Positif,tito karnatitipan wkwk  tag goodbyejokowi jogja ordebrutal turu subuh inisial m tito,"['tito', 'karnatitipan', 'wkwk', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['tito', 'karnatitipan', 'wkwk', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']","['tito', 'karnatitipan', 'wkwk', 'tag', 'goodbyejokowi', 'jogja', 'ordebrutal', 'turu', 'subuh', 'inisial', 'm', 'tito']"
